"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"RT @rakeld12341234: 7 de Julio de 2016 tenias la misma novia, pero eso no evitó que ultrajaras y violaras a una niña de 18 años así que aho…",FALSE,0,NA,2018-06-11 03:40:06,FALSE,NA,"1006018209353519105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zymmet",2561,TRUE,FALSE,NA,NA,"es_de_nina","genero"
"@fannahvela @miss_agridulce @gooz25 Si existió la cantante española no sé, pero la niña que la interpreta es la de… https://t.co/rM2LsNiTGC",FALSE,0,"fannahvela",2018-06-11 03:34:44,TRUE,"1006015933926608896","1006016858061987840","30615517","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReclutamientoMX",0,FALSE,FALSE,NA,NA,"es_de_nina","genero"
"@miguesinl Sip, es notorio que fue porque era amiga de Boneta o de alguien más de la producción (no cuidaron en lo… https://t.co/394p19LWF0",FALSE,1,"miguesinl",2018-06-11 03:07:55,TRUE,"1006009779788140545","1006010107992293376","103987598","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PauloNavaC",0,FALSE,FALSE,NA,NA,"es_de_nina","genero"
"En capitulo de hoy:

-No te hagas wey Micky 
-Putas para todos
-Juego de manos es de villanos
-Alejate de mi hija,… https://t.co/ngg1OXJTtc",FALSE,1,NA,2018-06-11 02:48:03,TRUE,NA,"1006005109292224512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Armandini2809",1,FALSE,FALSE,NA,NA,"es_de_nina","genero"
"@ERIFERCA como amo tu personaje de #LaNegra en educando a nina! Es genial!!",FALSE,0,"ERIFERCA",2018-06-11 01:59:54,FALSE,NA,"1005992993793429504","118241069","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcsolism86",0,FALSE,FALSE,NA,NA,"es_de_nina","genero"
"RT @rakeld12341234: 7 de Julio de 2016 tenias la misma novia, pero eso no evitó que ultrajaras y violaras a una niña de 18 años así que aho…",FALSE,0,NA,2018-06-11 01:58:20,FALSE,NA,"1005992598924914688",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","OhNanyNany",2561,TRUE,FALSE,NA,NA,"es_de_nina","genero"
"RT @rakeld12341234: 7 de Julio de 2016 tenias la misma novia, pero eso no evitó que ultrajaras y violaras a una niña de 18 años así que aho…",FALSE,0,NA,2018-06-11 01:54:40,FALSE,NA,"1005991676740014080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelaGarcia06_",2561,TRUE,FALSE,NA,NA,"es_de_nina","genero"
"RT @rakeld12341234: 7 de Julio de 2016 tenias la misma novia, pero eso no evitó que ultrajaras y violaras a una niña de 18 años así que aho…",FALSE,0,NA,2018-06-11 01:52:41,FALSE,NA,"1005991174354677760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mireiavam",2561,TRUE,FALSE,NA,NA,"es_de_nina","genero"
"RT @rakeld12341234: 7 de Julio de 2016 tenias la misma novia, pero eso no evitó que ultrajaras y violaras a una niña de 18 años así que aho…",FALSE,0,NA,2018-06-11 01:41:40,FALSE,NA,"1005988404012748800",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Quiquegarcai1",2561,TRUE,FALSE,NA,NA,"es_de_nina","genero"
"RT @rakeld12341234: 7 de Julio de 2016 tenias la misma novia, pero eso no evitó que ultrajaras y violaras a una niña de 18 años así que aho…",FALSE,0,NA,2018-06-11 01:39:48,FALSE,NA,"1005987932392579074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YunaBallard",2561,TRUE,FALSE,NA,NA,"es_de_nina","genero"
